Comment,Designator,Footprint,LCSC
BSS138,"Q3,Q4,Q5,Q6,Q7,Q8",SOT-23,C112239
D_Schottky_Small,D3,D_SOD-323,C114023
USB_C_Receptacle_USB2.0,J15,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
ME6212C18M5G,U7,SOT-23-5,C236669
BBQ20KBD,U9,BM20B(0.8)-40DS-0.4V,C424543
ME6212C28M5G,U8,SOT-23-5,C427596
AP2112K-3.3,U4,SOT-23-5,C51118
XYDBPCNANF-12MHZ,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C709001
GD25Q16xS,U5,SSOP-8_5.25x5.24mm_P1.27mm,C79074
RPi_GPIO,J48,PinHeader_2x20_P2.54mm_Vertical,
Notification LED,D2,FM-B2020RGBA-HG,
10K,R1,R_0603_1608Metric,
1K,R22,R_0603_1608Metric,
TPS61090,U2,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,
Button,SW2,Panasonic_EVQPUL_EVQPUC,
10K,R31,R_0603_1608Metric,
1uF,C21,C_0603_1608Metric,
22uF,C3,C_1206_3216Metric,
0.1uF,C17,C_0603_1608Metric,
0.1uF,C22,C_0603_1608Metric,
2M,R6,R_0603_1608Metric,
6.8uH/4A,L1,L_Bourns_SRP7028A_7.3x6.6mm,
220K,R11,R_0603_1608Metric,
27R,R20,R_0603_1608Metric,
100nF,C2,C_0603_1608Metric,
10K,R36,R_0603_1608Metric,
0.1uF,C14,C_0603_1608Metric,
10K,R28,R_0603_1608Metric,
10uF,C10,C_0603_1608Metric,
360K,R7,R_0603_1608Metric,
10K,R30,R_0603_1608Metric,
RP2040,U6,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,
1K,R27,R_0603_1608Metric,
10uF,C1,C_0603_1608Metric,
10K,R32,R_0603_1608Metric,
100K,R5,R_0603_1608Metric,
0.1uF,C15,C_0603_1608Metric,
4.7K,R25,R_0603_1608Metric,
12pF,C12,C_0603_1608Metric,
220,R12,R_0603_1608Metric,
10K,R4,R_0603_1608Metric,
TP4054,U1,SOT-23-5,
330,R18,R_0603_1608Metric,
0.1uF,C19,C_0603_1608Metric,
10K,R23,R_0603_1608Metric,
10K,R19,R_0603_1608Metric,
27R,R21,R_0603_1608Metric,
100uF,C5,CP_EIA-3528-15_AVX-H,
10uF,C9,C_0603_1608Metric,
10K,R33,R_0603_1608Metric,
10K,R29,R_0603_1608Metric,
Battery,J43,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,
5.1K,R2,R_0603_1608Metric,
S8050,Q9,SOT-23,
10K,R17,R_0603_1608Metric,
1uF,C18,C_0603_1608Metric,
SI2301,Q1,SOT-23,
100K,R8,R_0603_1608Metric,
RPi_GPIO,J1,PinHeader_2x20_P2.54mm_Vertical,
100K,R15,R_0603_1608Metric,
4.7K,R24,R_0603_1608Metric,
SI2301,Q2,SOT-23,
12pF,C11,C_0603_1608Metric,
B5819W,D1,D_SOD-123,
100uF,C4,CP_EIA-3528-15_AVX-H,
1M,R9,R_0603_1608Metric,
10K,R26,R_0603_1608Metric,
10K,R37,R_0603_1608Metric,
100,R13,R_0603_1608Metric,
10K,R38,R_0603_1608Metric,
10K,R34,R_0603_1608Metric,
0.1uF,C16,C_0603_1608Metric,
100,R14,R_0603_1608Metric,
10K,R35,R_0603_1608Metric,
0.1uF,C13,C_0603_1608Metric,
ON/OFF,SW1,SW_SPDT_PCM12,
100K,R16,R_0603_1608Metric,
5.1K,R3,R_0603_1608Metric,
2M,R10,R_0603_1608Metric,
PRG_HEADER,J45,PinHeader_2x06_P1.27mm_Vertical_SMD,
0.1uF,C20,C_0603_1608Metric,
0.1uF,C23,C_0603_1608Metric,
