Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,27.8475,-113.125,90.0,bottom
C2,100nF,C_0603_1608Metric,26.3875,-113.125,90.0,bottom
C3,22uF,C_1206_3216Metric,15.55,-110.65,0.0,bottom
C4,100uF,CP_EIA-3528-15_AVX-H,20.3025,-108.7225,0.0,bottom
C5,100uF,CP_EIA-3528-15_AVX-H,20.3,-105.4125,0.0,bottom
C9,10uF,C_0603_1608Metric,14.73,-108.77,0.0,bottom
C10,10uF,C_0603_1608Metric,14.73,-103.9,0.0,bottom
C11,12pF,C_0603_1608Metric,58.11,-90.615,90.0,bottom
C12,12pF,C_0603_1608Metric,60.325,-87.16,0.0,bottom
C13,0.1uF,C_0603_1608Metric,57.46,-101.11,0.0,bottom
C14,0.1uF,C_0603_1608Metric,57.46,-96.22,0.0,bottom
C15,0.1uF,C_0603_1608Metric,64.43,-90.615,90.0,bottom
C16,0.1uF,C_0603_1608Metric,70.66,-96.23,180.0,bottom
C17,0.1uF,C_0603_1608Metric,70.66,-100.61,180.0,bottom
C18,1uF,C_0603_1608Metric,65.75,-103.82,270.0,bottom
C19,0.1uF,C_0603_1608Metric,65.89,-90.62,90.0,bottom
C20,0.1uF,C_0603_1608Metric,67.21,-103.82,270.0,bottom
C21,1uF,C_0603_1608Metric,64.29,-103.82,270.0,bottom
C22,0.1uF,C_0603_1608Metric,60.44,-77.36,0.0,bottom
C23,0.1uF,C_0603_1608Metric,56.6,-77.36,180.0,bottom
D1,B5819W,D_SOD-123,48.558911,-118.896,90.0,bottom
D2,Notification LED,FM-B2020RGBA-HG,6.18,-3.405,0.0,top
D3,D_Schottky_Small,D_SOD-323,16.9,-100.54,0.0,bottom
J1,RPi_GPIO,PinHeader_2x20_P2.54mm_Vertical,34.539984,-34.570194,90.0,bottom
J15,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,41.59,-120.36,180.0,bottom
J43,Battery,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,62.15,-119.28,0.0,bottom
J45,PRG_HEADER,PinHeader_2x06_P1.27mm_Vertical_SMD,71.71,-80.82,270.0,bottom
J48,RPi_GPIO,PinHeader_2x20_P2.54mm_Vertical,52.12716,-58.853894,-90.0,top
L1,6.8uH/4A,L_Bourns_SRP7028A_7.3x6.6mm,29.2575,-108.095,0.0,bottom
Q1,SI2301,SOT-23,11.95,-48.95,270.0,bottom
Q2,SI2301,SOT-23,51.628911,-118.256,180.0,bottom
Q3,BSS138,SOT-23,71.51,-73.4,90.0,bottom
Q4,BSS138,SOT-23,68.11,-73.4,90.0,bottom
Q5,BSS138,SOT-23,64.71,-73.4,90.0,bottom
Q6,BSS138,SOT-23,61.31,-73.405,90.0,bottom
Q7,BSS138,SOT-23,57.91,-73.405,90.0,bottom
Q8,BSS138,SOT-23,57.14,-87.21,90.0,bottom
Q9,S8050,SOT-23,15.35,-48.95,270.0,bottom
R1,10K,R_0603_1608Metric,18.53,-47.765,0.0,bottom
R2,5.1K,R_0603_1608Metric,45.43,-113.36,0.0,bottom
R3,5.1K,R_0603_1608Metric,37.75,-113.36,180.0,bottom
R4,10K,R_0603_1608Metric,55.468911,-115.826,180.0,bottom
R5,100K,R_0603_1608Metric,48.888911,-115.816,180.0,bottom
R6,2M,R_0603_1608Metric,27.14,-115.34,0.0,bottom
R7,360K,R_0603_1608Metric,27.14,-116.8,180.0,bottom
R8,100K,R_0603_1608Metric,19.34,-116.61,180.0,bottom
R9,1M,R_0603_1608Metric,16.37,-115.45,0.0,bottom
R10,2M,R_0603_1608Metric,16.375,-112.53,0.0,bottom
R11,220K,R_0603_1608Metric,16.375,-113.99,0.0,bottom
R12,220,R_0603_1608Metric,8.26,-6.34,90.0,bottom
R13,100,R_0603_1608Metric,6.8,-6.34,90.0,bottom
R14,100,R_0603_1608Metric,5.34,-6.34,90.0,bottom
R15,100K,R_0603_1608Metric,52.5,-115.82,180.0,bottom
R16,100K,R_0603_1608Metric,52.5,-114.36,0.0,bottom
R17,10K,R_0603_1608Metric,18.53,-49.225,0.0,bottom
R18,330,R_0603_1608Metric,18.53,-50.685,180.0,bottom
R19,10K,R_0603_1608Metric,51.62,-106.6,270.0,bottom
R20,27R,R_0603_1608Metric,41.21,-113.36,180.0,bottom
R21,27R,R_0603_1608Metric,41.21,-111.9,180.0,bottom
R22,1K,R_0603_1608Metric,62.97,-90.615,90.0,bottom
R23,10K,R_0603_1608Metric,67.35,-90.625,270.0,bottom
R24,4.7K,R_0603_1608Metric,70.66,-97.69,180.0,bottom
R25,4.7K,R_0603_1608Metric,70.66,-99.15,0.0,bottom
R26,10K,R_0603_1608Metric,57.46,-99.65,180.0,bottom
R27,1K,R_0603_1608Metric,51.62,-103.64,270.0,bottom
R28,10K,R_0603_1608Metric,70.54,-70.0,90.0,bottom
R29,10K,R_0603_1608Metric,67.14,-70.0,90.0,bottom
R30,10K,R_0603_1608Metric,63.74,-70.0,90.0,bottom
R31,10K,R_0603_1608Metric,60.34,-70.005,90.0,bottom
R32,10K,R_0603_1608Metric,56.94,-70.005,90.0,bottom
R33,10K,R_0603_1608Metric,72.48,-70.0,90.0,bottom
R34,10K,R_0603_1608Metric,69.08,-70.0,90.0,bottom
R35,10K,R_0603_1608Metric,65.68,-70.0,90.0,bottom
R36,10K,R_0603_1608Metric,62.28,-70.005,90.0,bottom
R37,10K,R_0603_1608Metric,58.88,-70.005,90.0,bottom
R38,10K,R_0603_1608Metric,57.095,-84.52,180.0,bottom
SW1,ON/OFF,SW_SPDT_PCM12,24.22,-120.98,0.0,bottom
SW2,Button,Panasonic_EVQPUL_EVQPUC,87.1,-16.725,90.0,bottom
U1,TP4054,SOT-23-5,55.248911,-118.606,270.0,bottom
U2,TPS61090,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,21.7575,-113.125,90.0,bottom
